kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 1653 : 501 4690 0 0 0 0 0 0 0 
_1.ptx 2474 : 1000 6352 0 0 0 0 0 0 0 
_1.ptx 1651 : 501 3288 0 0 0 0 0 0 0 
_1.ptx 1650 : 501 4709 0 0 0 0 0 0 0 
_1.ptx 2471 : 1000 7896 0 0 0 0 0 0 0 
_1.ptx 1648 : 501 3439 0 0 0 0 0 0 0 
_1.ptx 1233 : 1024 7168 0 0 0 0 0 0 0 
_1.ptx 2056 : 1000 6096 0 0 0 0 0 0 0 
_1.ptx 1645 : 501 3479 0 0 0 0 0 0 0 
_1.ptx 1231 : 1024 17856 0 0 0 0 0 0 0 
_1.ptx 2054 : 1000 7160 0 0 0 0 0 0 0 
_1.ptx 2463 : 1000 144024 0 0 0 63 32 0 0 
_1.ptx 1642 : 501 3417 0 0 0 0 0 0 0 
_1.ptx 1228 : 1024 22080 0 0 0 0 0 0 0 
_1.ptx 2051 : 1000 7256 0 0 0 0 0 0 0 
_1.ptx 1641 : 501 4773 0 0 0 0 0 0 0 
_1.ptx 1639 : 501 3272 0 0 0 0 0 0 0 
_1.ptx 2457 : 1000 105800 8000 0 0 63 32 0 0 
_1.ptx 2047 : 546 4914 0 0 0 0 0 0 0 
_1.ptx 2459 : 1000 7384 0 0 0 0 0 0 0 
_1.ptx 1636 : 501 3290 0 0 0 0 0 0 0 
_1.ptx 2045 : 546 8265 0 0 0 0 0 0 0 
_1.ptx 2453 : 1000 7512 0 0 0 0 0 0 0 
_1.ptx 1675 : 499 4507 0 0 0 0 0 0 0 
_1.ptx 1259 : 1024 8384 0 0 0 0 0 0 0 
_1.ptx 2082 : 1000 7096 0 0 0 0 0 0 0 
_1.ptx 1672 : 499 4668 0 0 0 0 0 0 0 
_1.ptx 1670 : 499 3151 0 0 0 0 0 0 0 
_1.ptx 1256 : 1024 6464 0 0 0 0 0 0 0 
_1.ptx 2079 : 1000 0 0 0 0 0 0 0 0 
_1.ptx 1523 : 1000 23160 8000 0 0 63 32 0 0 
_1.ptx 1932 : 1000 586280 0 0 0 0 0 0 0 
_1.ptx 1920 : 1000 299528 0 0 0 0 0 0 0 
_1.ptx 2334 : 69000 600888 0 0 0 0 0 0 0 
_1.ptx 1511 : 1000 13424 0 0 0 0 0 0 0 
_1.ptx 2329 : 69000 813592 0 0 0 0 0 0 0 
_1.ptx 1519 : 1000 17648 0 0 0 0 0 0 0 
_1.ptx 1928 : 1000 5224 0 0 0 32 32 0 0 
_1.ptx 1916 : 1000 600104 0 0 0 0 0 0 0 
_1.ptx 1507 : 1024 10016 0 0 0 0 0 0 0 
_1.ptx 2325 : 69000 628920 0 0 0 0 0 0 0 
_1.ptx 2540 : 1000 7640 0 0 0 0 0 0 0 
_1.ptx 1717 : 1000 6496 0 0 0 0 0 0 0 
_1.ptx 2535 : 1000 9544 0 0 0 0 0 0 0 
_1.ptx 1518 : 1000 20192 8000 0 0 63 32 0 0 
_1.ptx 1927 : 1000 11896 0 0 0 0 0 0 0 
_1.ptx 1517 : 1000 295720 8064 0 0 63 32 0 0 
_1.ptx 1926 : 1000 226896 0 0 0 0 0 0 0 
_1.ptx 1914 : 1000 7576 0 0 0 0 0 0 0 
_1.ptx 2538 : 1000 10512 0 0 0 0 0 0 0 
_1.ptx 1715 : 1000 8416 0 0 0 0 0 0 0 
_1.ptx 2533 : 1000 9320 0 0 0 0 0 0 0 
_1.ptx 1912 : 1000 12760 0 0 0 0 0 0 0 
_1.ptx 1514 : 1000 6216 8000 0 0 63 32 0 0 
_1.ptx 1923 : 1000 8024 0 0 0 0 0 0 0 
_1.ptx 2332 : 69000 5295600 0 0 0 0 0 0 0 
_1.ptx 1911 : 1000 263368 0 0 0 0 0 0 0 
_1.ptx 1910 : 1000 11384 0 0 0 0 0 0 0 
_1.ptx 1501 : 1024 11744 0 0 0 0 0 0 0 
_1.ptx 1711 : 1000 0 0 0 0 0 0 0 0 
_1.ptx 2335 : 69000 533472 0 0 0 0 0 0 0 
_1.ptx 1512 : 1000 12056 0 0 0 0 0 0 0 
_1.ptx 1909 : 1000 8088 0 0 0 0 0 0 0 
_1.ptx 2323 : 69000 2716776 0 0 0 0 0 0 0 
_1.ptx 1500 : 1024 12832 0 0 0 0 0 0 0 
_1.ptx 1495 : 1024 6720 0 0 0 0 0 0 0 
_1.ptx 2318 : 69000 1814112 0 0 0 0 0 0 0 
_1.ptx 2525 : 1000 6512 0 0 0 0 0 0 0 
_1.ptx 2331 : 69000 819584 0 0 0 0 0 0 0 
_1.ptx 1508 : 1024 144 0 0 0 0 0 0 1 
_1.ptx 1503 : 1024 11776 0 0 0 0 0 0 0 
_1.ptx 2326 : 69000 658032 0 0 0 0 0 0 0 
_1.ptx 1905 : 1000 162392 0 0 0 0 0 0 0 
_1.ptx 1631 : 1000 15256 0 0 0 0 0 0 0 
_1.ptx 2040 : 546 4936 0 0 0 0 0 0 0 
_1.ptx 1885 : 1000 15768 0 0 0 0 0 0 0 
_1.ptx 2294 : 69000 592816 0 0 0 0 0 0 0 
_1.ptx 2504 : 1000 6832 0 0 0 0 0 0 0 
_1.ptx 1896 : 1000 72680 0 0 0 63 32 0 0 
_1.ptx 1486 : 1024 7360 0 0 0 0 0 0 0 
_1.ptx 2406 : 69000 990608 0 0 0 0 0 0 0 
_1.ptx 1583 : 1000 7512 0 0 0 0 0 0 0 
_1.ptx 1883 : 1000 301392 0 0 0 0 0 0 0 
_1.ptx 2037 : 546 4914 0 0 0 0 0 0 0 
_1.ptx 2446 : 1000 8728 0 0 0 0 0 0 0 
_1.ptx 2399 : 69000 0 0 0 0 0 0 0 0 
_1.ptx 1881 : 1000 15632 0 0 0 0 0 0 0 
_1.ptx 1529 : 1000 11000 0 0 0 0 0 0 0 
_1.ptx 1938 : 1000 7608 0 0 0 0 0 0 0 
_1.ptx 2347 : 1000 8440 0 0 0 0 0 0 0 
_1.ptx 2449 : 1000 42352 0 0 0 0 0 0 0 
_1.ptx 1626 : 1000 10704 0 0 0 0 0 0 0 
_1.ptx 2035 : 546 3308 0 0 0 0 0 0 0 
_1.ptx 2305 : 69000 9005752 0 0 0 4347 2208 0 0 
_1.ptx 1482 : 1024 27200 0 0 0 0 0 0 0 
_1.ptx 1891 : 1000 131496 0 0 0 0 0 0 0 
_1.ptx 2300 : 69000 550304 0 0 0 0 0 0 0 
_1.ptx 2527 : 1000 9320 0 0 0 0 0 0 0 
_1.ptx 1704 : 1000 7096 0 0 0 0 0 0 0 
_1.ptx 2351 : 1000 6320 0 0 0 0 0 0 0 
_1.ptx 1528 : 1000 10224 0 0 0 0 0 0 0 
_1.ptx 1481 : 1024 83648 0 0 0 0 0 0 0 
_1.ptx 2299 : 69000 5587696 640 0 0 2208 2208 0 0 
_1.ptx 2502 : 1000 9512 0 0 0 0 0 0 0 
_1.ptx 1679 : 499 4665 0 0 0 0 0 0 0 
_1.ptx 2497 : 1000 7056 0 0 0 0 0 0 0 
_1.ptx 2303 : 69000 605592 0 0 0 0 0 0 0 
_1.ptx 1480 : 1024 83648 0 0 0 0 0 0 0 
_1.ptx 1889 : 1000 8664 0 0 0 0 0 0 0 
_1.ptx 2298 : 69000 806168 0 0 0 0 0 0 0 
_1.ptx 1577 : 1000 14096 0 0 0 0 0 0 0 
_1.ptx 1901 : 1000 242184 0 0 0 0 0 0 0 
_1.ptx 1487 : 1024 7360 0 0 0 0 0 0 0 
_1.ptx 2310 : 69000 5313672 0 0 0 2208 2208 0 0 
_1.ptx 1924 : 1000 8184 0 0 0 0 0 0 0 
_1.ptx 2349 : 1000 7800 0 0 0 0 0 0 0 
_1.ptx 1526 : 1000 14032 0 0 0 0 0 0 0 
_1.ptx 1479 : 1024 163840 128 0 0 0 0 0 0 
_1.ptx 1888 : 1000 3880 0 0 0 0 0 0 0 
_1.ptx 2297 : 69000 2138712 0 0 0 0 0 0 0 
